# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
12.3967167; -5.1760667; 9.8758087; 1.0589522; 0.0599570; 6.7394182; 0.8096500
12.5966638; -5.3509678; 9.9727007; 1.0708048; 0.0586006; 6.7633964; 0.8324723
12.7966108; -5.5269898; 10.0675355; 1.0823865; 0.0572495; 6.7879623; 0.8548913
12.9965578; -5.7040951; 10.1603541; 1.0936995; 0.0559073; 6.8130975; 0.8767941
13.1965049; -5.8822136; 10.2511804; 1.1047436; 0.0545675; 6.8387808; 0.8985394
13.3964519; -6.0613212; 10.3400623; 1.1155210; 0.0532347; 6.8650014; 0.9199530
13.5963990; -6.2413627; 10.4270317; 1.1260324; 0.0519069; 6.8917434; 0.9411759
13.7963460; -6.4222952; 10.5121269; 1.1362784; 0.0505822; 6.9189954; 0.9623346
13.9962931; -6.6040860; 10.5953911; 1.1462606; 0.0492640; 6.9467496; 0.9833090
14.1962401; -6.7866785; 10.6768563; 1.1559787; 0.0479465; 6.9749946; 1.0044098
14.3961872; -6.9700498; 10.7565700; 1.1654343; 0.0466339; 7.0037281; 1.0254652
14.5961342; -7.1541551; 10.8345699; 1.1746277; 0.0453245; 7.0329428; 1.0465925
14.7960812; -7.3389583; 10.9108975; 1.1835594; 0.0440169; 7.0626348; 1.0678907
14.9960283; -7.5244304; 10.9855975; 1.1922303; 0.0427137; 7.0928030; 1.0892548
15.1959753; -7.7105283; 11.0587086; 1.2006403; 0.0414103; 7.1234430; 1.1109398
15.3959224; -7.8972283; 11.1302776; 1.2087902; 0.0401102; 7.1545579; 1.1328005
15.5958694; -8.0844959; 11.2003468; 1.2166804; 0.0388120; 7.1861463; 1.1549331
15.7958165; -8.2723009; 11.2689603; 1.2243109; 0.0375146; 7.2182096; 1.1774167
15.9957635; -8.4606165; 11.3361637; 1.2316824; 0.0362200; 7.2507511; 1.2001680
16.1957105; -8.6494130; 11.4020012; 1.2387950; 0.0349249; 7.2837718; 1.2233869
16.3956576; -8.8386646; 11.4665188; 1.2456488; 0.0336317; 7.3172780; 1.2469657
16.5956046; -9.0283464; 11.5297624; 1.2522443; 0.0323395; 7.3512727; 1.2709856
16.7955517; -9.2184331; 11.5917782; 1.2585812; 0.0310473; 7.3857613; 1.2955111
16.9954987; -9.4088994; 11.6526122; 1.2646600; 0.0297568; 7.4207505; 1.3204804
17.1954458; -9.5997277; 11.7123130; 1.2704807; 0.0284651; 7.4562450; 1.3460723
17.3953928; -9.7908899; 11.7709259; 1.2760431; 0.0271745; 7.4922544; 1.3721877
17.5953399; -9.9823688; 11.8284995; 1.2813477; 0.0258848; 7.5287852; 1.3988530
17.7952869; -10.1741438; 11.8850816; 1.2863944; 0.0245955; 7.5658443; 1.4261307
17.9952339; -10.3661907; 11.9407187; 1.2911833; 0.0233071; 7.6034401; 1.4540113
18.1951810; -10.5585014; 11.9954615; 1.2957236; 0.0221075; 7.6415804; 1.4773912
18.3951280; -10.7510477; 12.0493524; 1.3000240; 0.0209082; 7.6801400; 1.5015162
18.5950751; -10.9438191; 12.1024383; 1.3040859; 0.0197328; 7.7191320; 1.5249935
18.7950221; -11.1367995; 12.1547634; 1.3079163; 0.0185810; 7.7585330; 1.5478583
18.9949692; -11.3299674; 12.2063697; 1.3115163; 0.0174295; 7.7983212; 1.5715347
19.1949162; -11.5233231; 12.2573050; 1.3148862; 0.0162777; 7.8385114; 1.5960741
19.3948633; -11.7168371; 12.3076089; 1.3180257; 0.0151259; 7.8791194; 1.6214632
19.5948103; -11.9105042; 12.3573279; 1.3209349; 0.0139742; 7.9201601; 1.6477114
19.7947573; -12.1043112; 12.4065059; 1.3236139; 0.0128225; 7.9616484; 1.5307917
19.9947044; -12.2982359; 12.4551850; 1.3260625; 0.0116708; 8.0000000; 0.0000000
20.1946514; -12.4922857; 12.5034144; 1.3282810; 0.0105193; 8.0000000; 0.0000000
20.3945985; -12.6864282; 12.5512335; 1.3302691; 0.0093677; 8.0000000; 0.0000000
20.5945455; -12.8806622; 12.5986895; 1.3320270; 0.0082156; 8.0000000; 0.0000000
20.7944926; -13.0749761; 12.6458268; 1.3335545; 0.0070632; 8.0000000; 0.0000000
20.9944396; -13.2693469; 12.6926874; 1.3348515; 0.0059105; 8.0000000; 0.0000000
21.1943866; -13.4637875; 12.7393218; 1.3359181; 0.0047582; 8.0000000; 0.0000000
21.3943337; -13.6582624; 12.7857687; 1.3367543; 0.0036057; 8.0000000; 0.0000000
21.5942807; -13.8527734; 12.8320761; 1.3373600; 0.0024526; 8.0000000; 0.0000000
21.7942278; -14.0473097; 12.8782887; 1.3377351; 0.0012990; 8.0000000; 0.0000000
21.9941748; -14.2418471; 12.9244482; 1.3378794; 0.0001451; 8.0000000; 0.0000000
22.1941219; -14.4364023; 12.9706059; 1.3377930; -0.0010093; 8.0000000; 0.0000000
22.3940689; -14.6309371; 13.0168003; 1.3374758; -0.0021640; 8.0000000; 0.0000000
22.5940160; -14.8254547; 13.0630795; 1.3369277; -0.0033191; 8.0000000; 0.0000000
22.7939630; -15.0199444; 13.1094885; 1.3361485; -0.0044747; 8.0000000; 0.0000000
22.9939100; -15.2143808; 13.1560687; 1.3351383; -0.0056307; 8.0000000; 0.0000000
23.1938571; -15.4087823; 13.2028720; 1.3338967; -0.0067873; 8.0000000; 0.0000000
23.3938041; -15.6031082; 13.2499362; 1.3324240; -0.0079443; 8.0000000; 0.0000000
23.5937512; -15.7973622; 13.2973097; 1.3307199; -0.0091018; 8.0000000; 0.0000000
23.7936982; -15.9915325; 13.3450375; 1.3287842; -0.0102600; 8.0000000; 0.0000000
23.9936453; -16.1855925; 13.3931604; 1.3266170; -0.0114186; 8.0000000; 0.0000000
24.1935923; -16.3795601; 13.4417309; 1.3242179; -0.0125781; 8.0000000; 0.0000000
24.3935393; -16.5733928; 13.4907859; 1.3215870; -0.0137381; 8.0000000; 0.0000000
24.5934864; -16.7670933; 13.5403740; 1.3187241; -0.0148988; 8.0000000; 0.0000000
24.7934334; -16.9606479; 13.5905396; 1.3156289; -0.0160604; 8.0000000; 0.0000000
24.9933805; -17.1540287; 13.6413234; 1.3123017; -0.0172225; 8.0000000; 0.0000000
25.1933275; -17.3472511; 13.6927775; 1.3087416; -0.0183860; 8.0000000; 0.0000000
25.3932746; -17.5402711; 13.7449384; 1.3049491; -0.0195500; 8.0000000; 0.0000000
25.5932216; -17.7330889; 13.7978543; 1.3009237; -0.0207152; 8.0000000; 0.0000000
25.7931687; -17.9256885; 13.8515691; 1.2966651; -0.0218815; 8.0000000; 0.0000000
25.9931157; -18.1180402; 13.9061229; 1.2921735; -0.0230485; 8.0000000; 0.0000000
26.1930627; -18.3101548; 13.9615673; 1.2874480; -0.0242175; 8.0000000; 0.0000000
26.3930098; -18.5019876; 14.0179381; 1.2824889; -0.0253874; 8.0000000; 0.0000000
26.5929568; -18.6935349; 14.0752828; 1.2772957; -0.0265587; 8.0000000; 0.0000000
26.7929039; -18.8847772; 14.1336446; 1.2718680; -0.0277317; 8.0000000; 0.0000000
26.9928509; -19.0756831; 14.1930628; 1.2662060; -0.0289058; 8.0000000; 0.0000000
27.1927980; -19.2662569; 14.2535880; 1.2603086; -0.0300824; 8.0000000; 0.0000000
27.3927450; -19.4564534; 14.3152552; 1.2541760; -0.0312604; 8.0000000; 0.0000000
27.5926920; -19.6462635; 14.3781109; 1.2478077; -0.0324404; 8.0000000; 0.0000000
27.7926391; -19.8356637; 14.4421971; 1.2412031; -0.0336229; 8.0000000; 0.0000000
27.9925861; -20.0246207; 14.5075524; 1.2343622; -0.0348068; 8.0000000; 0.0000000
28.1925332; -20.2131301; 14.5742252; 1.2272838; -0.0359942; 8.0000000; 0.0000000
28.3924802; -20.4011467; 14.6422502; 1.2199681; -0.0371835; 8.0000000; 0.0000000
28.5924273; -20.5886547; 14.7116719; 1.2124142; -0.0383755; 8.0000000; 0.0000000
28.7923743; -20.7756259; 14.7825309; 1.2046217; -0.0395708; 8.0000000; 0.0000000
28.9923214; -20.9620245; 14.8548646; 1.1965901; -0.0407683; 8.0000000; 0.0000000
29.1922684; -21.1478360; 14.9287188; 1.1883183; -0.0419704; 8.0000000; 0.0000000
29.3922154; -21.3330153; 15.0041273; 1.1798061; -0.0431755; 8.0000000; 0.0000000
29.5921625; -21.5175383; 15.0811323; 1.1710525; -0.0443840; 8.0000000; 0.0000000
29.7921095; -21.7013715; 15.1597722; 1.1620569; -0.0455966; 8.0000000; 0.0000000
29.9920566; -21.8844765; 15.2400831; 1.1528186; -0.0468122; 8.0000000; 0.0000000
30.1920036; -22.0668271; 15.3221067; 1.1433365; -0.0480336; 8.0000000; 0.0000000
30.3919507; -22.2483779; 15.4058763; 1.1336099; -0.0492598; 8.0000000; 0.0000000
30.5918977; -22.4290961; 15.4914305; 1.1236375; -0.0504917; 8.0000000; 0.0000000
30.7918447; -22.6089417; 15.5788050; 1.1134181; -0.0517305; 8.0000000; 0.0000000
30.9917918; -22.7878708; 15.6680334; 1.1029507; -0.0529608; 8.0000000; 0.0000000
31.1917388; -22.9658450; 15.7591503; 1.0922569; -0.0540068; 8.0000000; 0.0000000
31.3916859; -23.1428284; 15.8521854; 1.0813539; -0.0550520; 8.0000000; 0.0000000
31.5916329; -23.3187719; 15.9471573; 1.0703097; -0.0549207; 8.0000000; 0.0000000
31.7915800; -23.4936650; 16.0440560; 1.0594293; -0.0539151; 8.0000000; 0.0000000
31.9915270; -23.6675167; 16.1428420; 1.0487491; -0.0528595; 8.0000000; 0.0000000
32.1914741; -23.8402958; 16.2434448; 1.0383499; -0.0511677; 8.0000000; 0.0000000
32.3914211; -24.0120529; 16.3458197; 1.0282871; -0.0494845; 8.0000000; 0.0000000
32.5913681; -24.1827826; 16.4498853; 1.0185604; -0.0478092; 8.0000000; 0.0000000
32.7913152; -24.3525083; 16.5555772; 1.0091684; -0.0461379; 8.0000000; 0.0000000
32.9912622; -24.5212614; 16.6628366; 1.0001095; -0.0444718; 8.0000000; 0.0000000
33.1912093; -24.6890391; 16.7715826; 0.9913842; -0.0428088; 8.0000000; 0.0000000
33.3911563; -24.8558911; 16.8817681; 0.9829904; -0.0411499; 8.0000000; 0.0000000
33.5911034; -25.0218261; 16.9933195; 0.9749281; -0.0394957; 8.0000000; 0.0000000
33.7910504; -25.1868745; 17.1061774; 0.9671963; -0.0378443; 8.0000000; 0.0000000
33.9909974; -25.3510718; 17.2202863; 0.9597940; -0.0361962; 8.0000000; 0.0000000
34.1909445; -25.5144269; 17.3355721; 0.9527215; -0.0345503; 8.0000000; 0.0000000
34.3908915; -25.6769910; 17.4519903; 0.9459775; -0.0329065; 8.0000000; 0.0000000
34.5908386; -25.8387812; 17.5694723; 0.9395621; -0.0312652; 8.0000000; 0.0000000
34.7907856; -25.9998338; 17.6879634; 0.9334747; -0.0296253; 8.0000000; 0.0000000
34.9907327; -26.1601881; 17.8074113; 0.9277149; -0.0279872; 8.0000000; 0.0000000
35.1906797; -26.3198609; 17.9277467; 0.9222827; -0.0263505; 8.0000000; 0.0000000
35.3906268; -26.4789059; 18.0489280; 0.9171775; -0.0247149; 8.0000000; 0.0000000
35.5905738; -26.6373459; 18.1708906; 0.9123992; -0.0230807; 8.0000000; 0.0000000
35.7905208; -26.7952215; 18.2935832; 0.9079477; -0.0214473; 8.0000000; 0.0000000
35.9904679; -26.9525754; 18.4169563; 0.9038224; -0.0198148; 8.0000000; 0.0000000
36.1904149; -27.1094295; 18.5409441; 0.9000238; -0.0181833; 8.0000000; 0.0000000
36.3903620; -27.2658397; 18.6655077; 0.8965511; -0.0165523; 8.0000000; 0.0000000
36.5903090; -27.4218327; 18.7905849; 0.8934045; -0.0149222; 8.0000000; 0.0000000
36.7902561; -27.5774520; 18.9161272; 0.8905838; -0.0132928; 8.0000000; 0.0000000
36.9902031; -27.7327427; 19.0420873; 0.8880887; -0.0116639; 8.0000000; 0.0000000
37.1901502; -27.8877298; 19.1684014; 0.8859194; -0.0100355; 8.0000000; 0.0000000
37.3900972; -28.0424708; 19.2950327; 0.8840756; -0.0084076; 8.0000000; 0.0000000
37.5900442; -28.1969948; 19.4219206; 0.8825571; -0.0067810; 8.0000000; 0.0000000
37.7899913; -28.3513468; 19.5490181; 0.8813638; -0.0051555; 8.0000000; 0.0000000
37.9899383; -28.5055730; 19.6762790; 0.8804954; -0.0035300; 8.0000000; 0.0000000
38.1898854; -28.6597006; 19.8036415; 0.8799525; -0.0019014; 8.0000000; 0.0000000
38.3898324; -28.8137868; 19.9310684; 0.8797351; -0.0002731; 8.0000000; 0.0000000
38.5897795; -28.9678622; 20.0585005; 0.8798428; 0.0013480; 8.0000000; 0.0000000
38.7897265; -29.1219722; 20.1858914; 0.8802739; 0.0029645; 8.0000000; 0.0000000
38.9896735; -29.2761627; 20.3131950; 0.8810284; 0.0045926; 8.0000000; 0.0000000
39.1896206; -29.4304618; 20.4403495; 0.8821188; 0.0063142; 8.0000000; 0.0000000
39.3895676; -29.5849284; 20.5673150; 0.8835534; 0.0080355; 8.0000000; 0.0000000
39.5895147; -29.7395956; 20.6940294; 0.8853342; 0.0097901; 8.0000000; 0.0000000
39.7894617; -29.8945105; 20.8204408; 0.8874692; 0.0115657; 8.0000000; 0.0000000
39.9894088; -30.0497215; 20.9464969; 0.8899593; 0.0133416; 8.0000000; 0.0000000
40.1893558; -30.2052620; 21.0721335; 0.8928047; 0.0151208; 8.0000000; 0.0000000
40.3893029; -30.3611860; 21.1973028; 0.8960060; 0.0169003; 8.0000000; 0.0000000
40.5892499; -30.5175303; 21.3219431; 0.8995631; 0.0186798; 8.0000000; 0.0000000
40.7891969; -30.6743389; 21.4459985; 0.9034760; 0.0204597; 8.0000000; 0.0000000
40.9891440; -30.8316556; 21.5694128; 0.9077449; 0.0222402; 8.0000000; 0.0000000
41.1890910; -30.9895171; 21.6921244; 0.9123698; 0.0240223; 8.0000000; 0.0000000
41.3890381; -31.1479674; 21.8140773; 0.9173513; 0.0258052; 8.0000000; 0.0000000
41.5889851; -31.3070449; 21.9352111; 0.9226893; 0.0275894; 8.0000000; 0.0000000
41.7889322; -31.4667877; 22.0554652; 0.9283842; 0.0293752; 8.0000000; 0.0000000
41.9888792; -31.6272337; 22.1747787; 0.9344364; 0.0311624; 8.0000000; 0.0000000
42.1888262; -31.7884217; 22.2930912; 0.9408461; 0.0329520; 8.0000000; 0.0000000
42.3887733; -31.9503833; 22.4103376; 0.9476139; 0.0347438; 8.0000000; 0.0000000
42.5887203; -32.1131575; 22.5264574; 0.9547401; 0.0365377; 8.0000000; 0.0000000
42.7886674; -32.2767752; 22.6413846; 0.9622254; 0.0383350; 8.0000000; 0.0000000
42.9886144; -32.4412660; 22.7550522; 0.9700702; 0.0401350; 8.0000000; 0.0000000
43.1885615; -32.6066695; 22.8674000; 0.9782755; 0.0419388; 8.0000000; 0.0000000
43.3885085; -32.7730035; 22.9783532; 0.9868416; 0.0437467; 8.0000000; 0.0000000
43.5884556; -32.9403054; 23.0878495; 0.9957698; 0.0455585; 8.0000000; 0.0000000
43.7884026; -33.1085971; 23.1958170; 1.0050607; 0.0473758; 8.0000000; 0.0000000
43.9883496; -33.2778988; 23.3021821; 1.0147152; 0.0491978; 8.0000000; 0.0000000
44.1882967; -33.4482481; 23.4068825; 1.0247351; 0.0510261; 8.0000000; 0.0000000
44.3882437; -33.6196481; 23.5098343; 1.0351208; 0.0528610; 8.0000000; 0.0000000
44.5881908; -33.7921317; 23.6109717; 1.0458743; 0.0547021; 8.0000000; 0.0000000
44.7881378; -33.9657106; 23.7102162; 1.0569967; 0.0565521; 8.0000000; 0.0000000
44.9880849; -34.1403933; 23.8074876; 1.0684893; 0.0584094; 8.0000000; 0.0000000
45.1880319; -34.3162128; 23.9027192; 1.0803551; 0.0602766; 8.0000000; 0.0000000
45.3879789; -34.4931562; 23.9958190; 1.0925944; 0.0621539; 8.0000000; 0.0000000
45.5879260; -34.6712490; 24.0867159; 1.1052105; 0.0640409; 8.0000000; 0.0000000
45.7878730; -34.8504905; 24.1753246; 1.1182052; 0.0659411; 8.0000000; 0.0000000
45.9878201; -35.0308761; 24.2615582; 1.1315803; 0.0678523; 8.0000000; 0.0000000
46.1877671; -35.2124297; 24.3453435; 1.1453401; 0.0697784; 8.0000000; 0.0000000
46.3877142; -35.3951220; 24.4265820; 1.1594855; 0.0717193; 8.0000000; 0.0000000
46.5876612; -35.5789672; 24.5051952; 1.1740209; 0.0736744; 8.0000000; 0.0000000
46.7876083; -35.7639498; 24.5810915; 1.1889491; 0.0756488; 8.0000000; 0.0000000
46.9875553; -35.9500502; 24.6541776; 1.2042730; 0.0776392; 8.0000000; 0.0000000
47.1875023; -36.1372777; 24.7243716; 1.2199981; 0.0796512; 8.0000000; 0.0000000
47.3874494; -36.3255868; 24.7915705; 1.2361267; 0.0816843; 8.0000000; 0.0000000
47.5873964; -36.5149747; 24.8556871; 1.2526642; 0.0837376; 8.0000000; 0.0000000
47.7873435; -36.7054090; 24.9166237; 1.2696150; 0.0858179; 8.0000000; 0.0000000
47.9872905; -36.8968526; 24.9742812; 1.2869833; 0.0879211; 8.0000000; 0.0000000
48.1872376; -37.0892933; 25.0285681; 1.3047764; 0.0900566; 8.0000000; 0.0000000
48.3871846; -37.2826695; 25.0793783; 1.3229986; 0.0922214; 8.0000000; 0.0000000
48.5871316; -37.4769548; 25.1266155; 1.3416565; 0.0944113; 8.0000000; 0.0000000
48.7870787; -37.6720969; 25.1701766; 1.3607558; 0.0966365; 8.0000000; 0.0000000
48.9870257; -37.8680381; 25.2099581; 1.3803026; 0.0988977; 8.0000000; 0.0000000
49.1869728; -38.0647358; 25.2458585; 1.4003098; 0.1012311; 8.0000000; -0.7354019
49.3869198; -38.2621141; 25.2777696; 1.4207871; 0.1036036; 7.9815987; -1.5244979
49.5868669; -38.4601124; 25.3055855; 1.4417392; 0.1059640; 7.9433167; -1.5099092
49.7868139; -38.6586562; 25.3292005; 1.4631638; 0.1083473; 7.9052183; -1.4954600
49.9867610; -38.8576636; 25.3485088; 1.4850636; 0.1103610; 7.8673026; -1.4811491
50.1867080; -39.0570472; 25.3634337; 1.5070810; 0.1098828; 7.8295688; -1.4669751
50.3866550; -39.2567138; 25.3739748; 1.5290089; 0.1094617; 7.7920160; -1.4529368
50.5866021; -39.4565621; 25.3801453; 1.5508138; 0.1084075; 7.7546432; -1.4390329
50.7865491; -39.6564971; 25.3819830; 1.5723502; 0.1070215; 7.7174498; -1.4252620
50.9864962; -39.8564262; 25.3795421; 1.5936148; 0.1056910; 7.6804347; -1.4116228
51.1864432; -40.0562593; 25.3728768; 1.6146192; 0.1044146; 7.6435972; -1.3981142
51.3863903; -40.2559086; 25.3620412; 1.6353727; 0.1031834; 7.6069363; -1.3847349
51.5863373; -40.4552925; 25.3470889; 1.6558852; 0.1020044; 7.5704513; -1.3714836
51.7862843; -40.6543298; 25.3280734; 1.6761663; 0.1008670; 7.5341413; -1.3583591
51.9862314; -40.8529426; 25.3050478; 1.6962240; 0.0997732; 7.4980054; -1.3453602
52.1861784; -41.0510561; 25.2780647; 1.7160680; 0.0987259; 7.4620428; -1.3324857
52.3861255; -41.2486003; 25.2471760; 1.7357062; 0.0977135; 7.4262528; -1.3197344
52.5860725; -41.4454998; 25.2124344; 1.7551460; 0.0967475; 7.3906343; -1.3071051
52.7860196; -41.6416923; 25.1738901; 1.7743967; 0.0958169; 7.3551868; -1.2945967
52.9859666; -41.8371141; 25.1315936; 1.7934650; 0.0949213; 7.3199092; -1.2822079
53.1859137; -42.0316873; 25.0855983; 1.8123577; 0.0940682; 7.2848009; -1.2699378
53.3858607; -42.2253746; 25.0359483; 1.8310838; 0.0932420; 7.2498609; -1.2577850
53.5858077; -42.4180892; 24.9826996; 1.8496471; 0.0924560; 7.2150885; -1.2457486
53.7857548; -42.6097919; 24.9258961; 1.8680571; 0.0916990; 7.1804829; -1.2338273
53.9857018; -42.8004334; 24.8655834; 1.8863194; 0.0909724; 7.1460433; -1.2220201
54.1856489; -42.9899169; 24.8018230; 1.9044392; 0.0902957; 7.1117688; -1.2103259
54.3855959; -43.1782516; 24.7346402; 1.9224289; 0.0896392; 7.0776588; -1.2049644
54.5855430; -43.3653228; 24.6641003; 1.9403629; 0.0901396; 7.0435357; -1.2009256
54.7854900; -43.5511019; 24.5901962; 1.9584928; 0.0912145; 7.0093618; -1.1757203
54.9854371; -43.7355290; 24.5129048; 1.9768569; 0.0931828; 6.9757429; -1.1644692
55.1853841; -43.9184282; 24.4321942; 1.9961084; 0.0994176; 6.9422853; -1.1533257
55.3853311; -44.0997307; 24.3478437; 2.0166150; 0.1056852; 6.9089881; -1.1422889
55.5852782; -44.2791814; 24.2596982; 2.0383143; 0.1110988; 6.8758506; -1.1313577
55.7852252; -44.4566379; 24.1675847; 2.0610312; 0.1161445; 6.8428721; -1.1205311
55.9851723; -44.6319325; 24.0713612; 2.0847647; 0.1211942; 6.8100517; -1.1098081
56.1851193; -44.8048006; 23.9709446; 2.1094843; 0.1261146; 6.7773888; -1.0991877
56.3850664; -44.9751181; 23.8661787; 2.1352023; 0.1311212; 6.7448825; -1.0886690
56.5850134; -45.1426109; 23.7569968; 2.1619231; 0.1361727; 6.7125322; -1.0782509
56.7849604; -45.3070713; 23.6432936; 2.1896644; 0.1413359; 6.6803370; -1.0679325
56.9849075; -45.4682687; 23.5249767; 2.2184516; 0.1465945; 6.6482962; -1.0577129
57.1848545; -45.6259061; 23.4020040; 2.2482952; 0.1519654; 6.6164091; -1.0475910
